,text,score
93,"מותר לאכול?
",0
94,"כן. 
",0
95,"בוקר טוב, פקודת התעבורה פקודת התעבורה (מס׳ 120) (תיקון מס׳ 2), התשפ״א–2021 (מ/1415). 
",0
96,"רגע, איפה זה?
",0
97,"חברים, אל תפריעו, אל תעצרו אותה. מי שלא מחזיק ראש, תחפשו את זה בחומר, זה בעמוד השני. מדובר בסעיף 8 על סדר היום. 
",0
98,"אמרת להיות ב-08.30. 
",0
99,"שקט, די, חבר הכנסת יעקב אשר, תכבד. 
",1
100,"אה, שאני אכבד? 
",1
101,"כן, אתה צועק, תכבד.
",1
102,"את לא נותנת לנו לדבר מילה. 
",1
103,"אתה תדבר בזמן שלך. 
",1
104,"את לא נותנת לנו הצעות לסדר, את אומרת לי לכבד.
",1
105,"אתה תדבר בזמן שלך? 
",1
106,"טלי קורה מבין עינייך, טלי קורה מבין עינייך.
",1
107,"לא, אתה תיטול קורה. 
",0
108,"גם עם חינוך , גם עם חיוך - - -
",1
109,"אתה תיתן לה לדבר. 
",1
110,"חבר הכנסת אשר, אני קוראת אותך לסדר בפעם הראשונה. 
",0
111,"יש לנו דיון ארוך, אתה - - -
",0
112,"אמרת שהתגעגעת. 
",0
113,"חווה ראובני, בבקשה. 
",0
114,"לדיון בניהול שלנו, לא בניהול הזה. 
",0
115,"אני מציע, חברי הסיעה, שנצא להתייעצות סיעתית. 
",0
116,"אם אתם רוצים לצאת להתייעצות אז אתם יכולים. 
",0
117,"במסגרת זו - - -
",0
118,"חברים, יש הבדל בין נציג משרד ממשלתי לבין פוליטיקאי. נא להתייחס בכבוד. 
",0
119,"חבר הכנסת פרוש, אתה מפריע ליועצת המשפטית, בבקשה לכבד אותה ולא להיכנס לדבריה. אני מבקשת, הדיון יתנהל בסדר מופתי היום.
",0
120,"אני מבקש לכבד את עובדי המדינה שמגיעים לכאן, אנחנו לא מכים את המקל. 
",0
121,"תודה רבה, חבר הכנסת מרגי. 
",0
122,"במסגרת תיקון 120 - - - לקווי שירות במוניות - - - אשכולות קווים בהליכים תחרותיים. 
",0
123,"תצאו בשקט, תודה. עורכת הדין, בבקשה. 
",0
124,"ארבל, אנחנו יוצאים, אין לה קוורום. 
",1
125,"קוורום צריך רק להצבעה, לא לדיון. אתם יכולים לצאת, זה בסדר. 
",0
126,"אני מבקש לשאול את נציגת משרד התחבורה מה מתגבש בעניין הטמפרטורה ברכבת כי אנחנו מאוד מוטרדים. 
",1
127,"היועצת המשפטית, בבקשה.
",0
128,"הרגתם אותנו. בתי אבות מלאים בנשים, הפנסיות שלנו אצלכן, מה עוד אתן רוצות?
",1
129,"יעקב מרגי, אני קוראת אותך לסדר בפעם הראשונה. 
",0
130,"כיוון שנקבע שיש צורך לקיים הליכים תחרותיים – תהליך שלוקח זמן – נקבע - - -
",0
131,"חבר הכנסת דוד ביטן, נקראת לסדר פעם ראשונה, תודה. 
",1
132,"אנחנו לא שומעים אותה. 
",0
133,"זו בעיה שלכם, אתם מרעישים. 
",1
134,"לא, זו בעיה שלך, זו לא בעיה שלנו. 
",1
135,"היועצת המשפטית, המשיכי. 
",0
136,"אני מנסה להסביר. 
",1
137,"את תסבירי ומי שמקשיב לך – מקשיב. אנחנו לא ניתן התייחסות נוספת. 
",0
138,"אני לא אחראית לרעשי הרקע. 
",0
139,"את לא אשמה. 
",0
140,"ברור שאת לא אשמה. 
",0
141,"העירו אותנו מוקדם היום.
",0
142,"לא נורא, תסתדר.
",1
143,"סליחה, זה נמאס, איך יכול להיות שאנחנו יושבים פה כבר שבועיים, אנחנו כל הזמן אומרים שיש בעיה עם המיקרופונים ואף אחד לא מטפל בזה. 
",1
144,"העברתי את זה הלאה וטיפלו בזה פעמיים. תראו, ברמת העיקרון שומעים את כולם ואני שומעת אותך כי אני פשוט בשקט. אתם מדברים - - -
",0
145,"את לא בשקט לשנייה, עידית. 
",1
146,"אתם מדברים אחד ליד השני אז אתם לא יכולים לשמוע אותה. תנו לה לדבר. 
",0
147,"מהתחלה בבקשה כי לא הבנו כלום.
",1
148,"אני מבקשת שקט. 
",0
149,"באיזה סעיף אנחנו?
",0
150,"אתה שואל אותי באיזה סעיף אנחנו אחרי שאתה מאחר? 
",1
151,"כן. 
",0
152,"לא, אתה תשאל את מי שיושב לצדך.
",1
153,"אל תענה, למה מי את בכלל, מי את בכלל? תעני כמו ילדה טובה. 
",1
154,"אני לא אענה לך כמו ילדה טובה. 
",1
155,"אתה לא תדבר ככה אל יושבת-ראש הוועדה. 
",1
156,"אתה מאחר לוועדה, מיקי, קראתי אותך לסדר בפעם הראשונה. אתה מאחר לוועדה, אם אתה מאחר לוועדה - - - 
",1
157,"אתה מאחר לוועדה ועוד מפריע באמצע. תתבייש, חבר הכנסת מיקי זוהר. 
",1
158,"מה היא נותנת לו ציונים.
",1
159,"הוא לא יקרא לה: ""ילדה טובה"" והוא לא יקרא לה: ""ילדה"". היא חברת כנסת ויושבת-ראש ועדה - - - 
",1
160,"זה לא ענייני, מה זה הסגנון הזה? 
",0
161,"חבר הכנסת שמחה רוטמן, אני קוראת אותך לסדר בפעם הראשונה.
",0
162,"זה בלתי-נסבל. 
",0
163,"למה - - - את לא קוראת לסדר? הוא צועק פה באמצע שמישהו מדבר. 
",1
164,"יוראי, היא לא למדה לקח מאתמול כשהיא העירה לי על האיחור. 
",0
165,"הוא לא יכנה אותה ""ילדה טובה"". 
",1
166,"בבקשה, בבקשה, אני מבקשת שקט ותתנו לה לדבר. חבר הכנסת יעקב מרגי, חבר הכנסת יעקב מרגי, נקראת לסדר כבר. 
",0
167,"- - - זה בסדר, העירו אותנו מוקדם.
",0
168,"אבל היא לא אשמה, באמת.
",0
169,"אני רגילה לקום מוקדם, אני במשרד - - -
",0
170,"זה נראה לכם הגיוני שהיא לא מצליחה לדבר? 
",1
171,"תנו לה לדבר, די. 
",1
172,"חברת הכנסת אורית סטרוק, די. 
",1
173,"אבל אנחנו מתעוררים לאופוזיציה.
",0
174,"אני חילונית גמורה אבל אנחנו בבין המצרים, היזהרו בדבריכם. 
",0
175,"תודה, חברת הכנסת גבי לסקי. 
",0
176,"אני מצטרף לדברים של חברת הכנסת גבי לסקי. 
",0
177,"עורכת הדין חוה ראובני, בבקשה. מי שיעז להפריע לה ייקרא לסדר. 
",1
178,"יוראי - - - בקשב רב. 
",0
179,"חברי הכנסת מכירים אותי שנים, אני בחיים לא ראיתי התנהלות כזאת. 
",1
180,"עורכת הדין ראובני, אני מתנצלת בשמם. 
",0
181,"בחיים לא ראינו כזאת קואליציה. 
",1
182,"אלו רק חברי האופוזיציה שמרעישים, אני מתנצלת בשמם, קבלי את התנצלותי. 
",0
183,"תתנצלי בשמך. 
",1
184,"את יכולה להתחיל מהתחלה ושנשמע אותך?
",1
185,"אנסה פעם נוספת. תיקון 120 לפקודת התעבורה נחקק ב-2018 והסדיר מחדש את ענף מוניות השירות באופן שבמקום קווים אקראיים שמופעלים כקווים בודדים על פי שיקול דעת המפעילים, בלי כללים ובלי רגולציה, יעברו וישתלבו בתוך התחבורה הציבורית עם הליכים תחרותיים, אשכולות מסודרים, רב-קו, סדר לוחות קבוע ומבנה מסודר ומאורגן של תחבורה ציבורית. יציאה להליך מכרזי זה דבר שלוקח זמן. יצאנו במכרזים לעשרה אשכולות, היו קשיים רבים מאוד גם לעשרת האשכולות הראשונים – קשיים בהצטיידות, בלימוד, מפעילי המוניות לא ממש הבינו במה זה שונה ממה שהם עשו עד אז ואז גם באה הקורונה ואין נוסעים ואין פעילות. כתוצאה מזה עצרנו את הפעלת יציאה למכרזים נוספים כדי להפיק לקחים מהמכרזים הראשונים. 
",0
186,"כשהיא תסיים את הטיפול במזגנים. 
",0
187,הצעת חוק ברוח זו כבר הוגשה בחורף שעבר אך לא הייתה אפשרות לקדמה. ,0
188,ההסדר הנוכחי פוקע בשבוע הבא ולכן אנחנו מבקשים לזרז את הדיון בהצעת החוק. ,0
189,"מדובר בשורה אחת של החלפת תאריך ה-3 בדצמבר 2020 ב-31 בדצמבר 2021. 
",0
190,"האם הקווים המדוברים פועלים גם בשבתות? 
",0
191,"אני לא יודעת לומר לגבי כל אחד מהקווים. ככלל, הם פועלים כמו שהם פעלו בעבר. 
",0
192,"מה היה בעבר?
",0
193,"יפעלו בשבתות, כן או לא? 
",0
194,"חלקם כן וחלקם לא, אני לא יודעת להגיד. 
",0
195,"את יכולה בבקשה לבדוק ולתת לנו תשובה במהלך הדיון? זה משמעותי עבורנו. 
",0
196,"אני יכולה לבדוק. חלקם הם קווים שבמגזר הערבי כמו במזרח הערבי ובגשר אלנבי. 
",0
197,"אנחנו נשמח מאוד מאוד לתשובה, בבקשה. 
",0
198,"אנחנו עוברים לדוברים. שמחה רוטמן, בבקשה. 
",0
199,"אני רוצה לשאול.
",0
200,"אתה תשאל בתורך.
",1
201,"אבל היא מציגה חוק. 
",0
202,"עכשיו אנחנו עם שמחה רוטמן. 
",0
203,"האם יש נוהל כזה להיות רשום באופן קבוע. 
",0
204,"יש שתי דקות לכל אחד. 
",0
205,"וצריך להירשם בכל פעם?
",0
206,"כן. 
",0
207,"סעיף 1 היה כבר? 
",0
208,"לא, זה לפי סדר שהיא קובעת. אני אשמח מאוד אם לא ייקטעו דבריי הפעם. אני רוצה - - -
",1
209,"רשמת את ביטן?
",0
210,"מי שרוצה שירים יד. 
",0
211,"אני - - - ניסיתי להבין, האמת היא שראיתי גם את כל הביטויים הלא - יפים שנכתבו בקבוצה של הוועדה המסדרת, גם מה שנכתב כלפי יושבת-ראש הוועדה, עידית, כל מיני ביטויים קשים.
",0
212," ראיתי גם ביטויים קשים נגד חברי ועדה מהימין, מהשמאל, מתומכי הטרור, כולם ברוך השם. ",0
213,"גם אתה הצטרפת למקהלה? 
",1
214,"חבר הכנסת אוסאמה סעדי, אל תפריע. 
",1
215,"אני לא הצטרפתי למקהלת תומכי הטרור. 
",0
216,"אל תפריעו, תנו לבן אדם לדבר.
",1
217,"כשהוא אומר ביטויים כאלו אני חייב להפריע, מה זה? 
",0
218,"סליחה, אני לא רוצה - - -
",0
219,"את בעצמך צריכה למחות. 
",1
220,"אז אחרי שהוא יסיים - - - אבל הוא לא דיבר על תומכי טרור עכשיו.
",0
221,"הוא לא דיבר על תומכי טרור עכשיו, מה יש לך? 
",1
222,"אבל הוא לא דיבר על תומכי טרור, איפה - - -
",0
223,"הוא אמר: ""תומכי טרור"" למה אתה אומרת שלא? 
",1
224,"אני אמרתי, את לא מקשיבה לי. אני אמרתי תומכי טרור. 
",1
225,"אוסאמה סעדי, הוא לא דיבר על אף אחד עכשיו באופן אישי. 
",0
226,"הוא דיבר על עב""מים? 
",0
227,"למה אתה צועק? יגיע תורך ותדבר. אל תיכנסו אחד לדבריו של השני. 
",1
228,"אוסאמה, למה אתה חושב שהוא התכוון אליך?
",0
229,"אני מגן על רע""מ. 
",0
230,"אוסאמה סעדי, אני קוראת אותך לסדר בפעם הראשונה. חבר הכנסת רוטמן, אני אגן על זכותך לדבר.
",0
231,"אני מעריך זאת. אני חייב לומר שהאחווה בין אוסאמה סעדי לבין וואליד טאהא מרשימה מאוד. 
",0
232,אני חשבתי שמי שיקפוץ להגנתו של חבר קואליציה תומך טרור תהיה דווקא חברת קואליציה ולא אתה. אבל אני רואה שאופוזיציה דואגת לקואליציה יותר ממה שהיא דואגת לעצמה. ,1
233,"אתה מבזבז מהזמן שלך. 
",1
234,"אני לא מבזבז מהזמן שלי, אני מדבר בדיוק מה שאני רוצה, אני יודע שזה מפתיע אותך. ",1
235,אני חשבתי שמי שיקפוץ להגנתו של חבר קואליציה תומך טרור תהיה דווקא חברת קואליציה ולא אתה. אבל אני רואה שאופוזיציה דואגת לקואליציה יותר ממה שהיא דואגת לעצמה. ,1
236,"זה הדבר שבספר משלי מרגיז מאוד אנשים, כך לפחות אמר החכם מכל אדם. מאחר ואתמול אנחנו דיברנו על שלמה המלך, מי האם האמיתית ומה האם הלא אמיתית. גם שם היה מדובר על אירוע שהרגיז את כל הארץ. אני הבנתי כתוצאה מ- ""עבד כי ימלוך"" שאנחנו חווים פה בשבועות האחרונים מדוע כולם כל כך מתרגזים. זה לא מצדיק כמובן תגובות קשות. 
",1
237,"מי העבד ומי המלך? בלי רמזים. 
",1
238,"נפתלי בנט זה העבד כי ימלוך. 
",1
239,"אני מבקשת לא להפריע, לא לתת פירושים. 
",0
240,"אנחנו עוזרים לו, זכותי לברר למה הוא מתכוון. 
",1
241,"לא, לא זכותך באמצע. חבר הכנסת מרגי, לא זכותך להפריע באמצע. 
",1
242,"בזמן שאדבר לא אדבר על מהות אלא על צורת הניהול שלך. 
",1
243,"אני אשמור שאף אחד לא ידבר בזמן שתדבר. שמחה רוטמן אמר שזה מפריע לו שנכנסים לדבריו וזה קוטע לו את רצף המחשבה. אני אשמור על זה.
",0
244,"אני מעריך את זה. מה שאני רוצה להודות כאן, מאחר שהמפלגה קיבלה בהתחלה שבעה מנדטים אז לכם מתאים: ""שלושה המה נפלאו ממני וארבעה לא ידעתים"", ביחד זה יוצא שבעה. חבר הכנסת מרגי ביקש הסבר. עבד כי ימלוך - - -
",0
245,"יש לך עוד 30 שניות. 
",0
246,"ב-30 שניות אני יודע להסביר מצוין. עבד כי ימלוך זה נפתלי בנט כמובן. נבל כי ישבע לחם זה ליברמן שאחראי על הלחם בממשלה. הוא האחראי והוא המשביר. שנואה כי תיבעל ושפחה כי תירש גבירתה, כדי לשמור על כבודם של הרבה מאוד אנשים אני אשאיר לכם. הדבר הזה מרגיש את הארץ ולא רק את מי שיושב בוועדה. 
",1
247,"שפחה כי תירש גבירתה זה עבאס. 
",1
248,"אתם מקבלים את התחושה הזאת בכל מקום, ברחובות, וגם בוועדה. 
",1
249,"איך זה להיות נבחרי ציבור כשאף אחד לא אוהב אתכם? 
",1
250,"תודה לחבר הכנסת רוטמן. חבר הכנסת אשר, בבקשה.
",0
251,"להיות נבחר ציבור כשאף אחד לא אוהב אותך, כולם שונאים אותך. 
",1
252,"לא להפריע, לא להפריע. חבר הכנסת יעקב אשר, בבקשה. 
",1
253,"אפשר לתפקד כנבחר ציבור כשאף אחד לא אוהב אותך?
",1
254,"אתה רואה? אנחנו מקבלים ים אהבה ברחוב וים אהבה מהעם.
",0
255,"אם עם ישראל טוב לו מימין ומשמאל אז אני מאושרת, קדימה. יעקב אשר, בבקשה, שתי דקות.
",0
256,"איך ההרגשה שמישהו מודד לך זמנים? אני רוצה לומר לנציגת משרד התחבורה - - -
",1
257,"תדבר בבקשה.
",0
258,"אני רוצה לדבר כשכולם שומעים. 
",0
259,"מה, הבאת בורקס מיפו? 
",0
260,"חברים, זה נראה לכם מתאים שם? איפה אתם חושבים שאתם נמצאים? חברת הכנסת אפרת רייטן, אני מאוד אוהבת אותך וזה לא לעניין.
",1
261,"היא מתנשאת עלייך. 
",1
262,"אני לא מתנשאת על אף אחד. 
",0
263,"אני מקבלת את זה באהבה. 
",0
264,"אתה רואה, ככה מתנהגים באהבה. 
",0
265,"את לא מראה שום דבר וזה מבטיח לך עתיד פוליטי קודר נכון לרגע זה. את לא בדרך הנכונה.
",1
266,"אל תדאג לי, אני אדאג לך, אני אדאג לעתיד הפוליטי שלך. 
",1
267,"את לא במסלול הנכון. 
",1
268,"חבר הכנסת יעקב אשר, בבקשה. 
",0
269,"אין לך מה לדאוג לעתיד הפוליטי שלי, זה רק מצביעי הליכוד יכולים לעשות.
",0
270,"בינתיים הוא לא בגד בבוחרים שלו, את לא צריכה לדאוג לו. 
",1
271,"גלית דיסטל, זה לא הזמן שלך לדבר, תודה. חבר הכנסת יעקב אשר, תודה. 
",0
272,"אני רוצה לומר לנציגת משרד התחבורה: את פשוט נקלעת למקום, יושבים פה אנשים סביב שולחן שישבו סביב הרבה שולחנות ואף פעם לא הרגישו את הצורה הזאת לא כשהם היו פה ולא כשהם היו כאן.
",0
273," שום דבר לא קשור אלייך, תעשי את עבודתך נאמנה, הכול בסדר. ",0
274,"גבירתי היושבת-ראש, בימים האחרונים אנחנו צריכים להרים את הקול ולצעוק. אני חושב שיש דבר שנקרא שפת גוף, שאולי את צריכה להבין בתור מחנכת, משהו פה לא עובד נכון גם ביחסים של קואליציה ואופוזיציה. קחי שנייה פסק זמן לעצמך ואני אשמח שתלכי למסיבה של הבן שלך. 
",0
275,"ויפה שעה אחת קודם. 
",0
276,"ברצינות, את פשוט מביאה אותנו למקומות שבהם לא היינו אף פעם אבל אם נצטרך, נהיה שם בגדול, גם אם זה לא תמיד מכובד, גם אם זה לא תמיד יפה. גם אם הנכד שלי אומר שהראו לו סרטון שמוציאים אותי החוצה והוא שואל: "" מה עושים לסבא""?
",1
277,"סיפרת לו מה סבא עושה?
",0
278,"תעשי מה שאת רוצה כדי לשבת על הכיסא, אנחנו לוקחים את זה בחשבון, אבל אני כן מציע, אני מתאר לעצמי שאת רוצה לבלות בבניין הזה הרבה שנים. 
",0
279,"בסייעתא דשמייא. 
",0
280,"יש פה חברויות, את נמצאת בקצה - - -
",1
281,"ונשמרתם לנפשותיכם זה גם משפט שכתוב. 
",0
282,"די.
",1
283,"את נמצאת בקצה של העניין הזה בחיוך ובשקט כביכול, אבל את על הקצה.",1
284,לא יכול להיות שיטרטרו אותנו בצום ונפנפו לנו בצום כדי להרגיע את מצפונינו. ,1
285,"לא יכול להיות שתעמדי על כך שנבוא ב-08:30 וכשאנחנו מגיעים – וזה בסדר, אם צריך נהיה גם ב-06:00 – אז כל חברייך מהקואליציה לא נמצאים פה ואת מתחילה לשנות את סדר היום.
",1
286," הוצאת אותנו מהבית בתקווה שאולי נגיע מאוחר ותצליחי לחטוף הצבעה – בחיוך, בדרכי נועם.",1
287,"ממש לא. יש לך 30 שניות. 
",1
288,"תני לדבר. 
",1
289,"את מפריע לי לדבר.
",1
290,"יש לך עוד 30 שניות. 
",0
291,"מה זה משנה אם יש לי 30 שניות. אז תעצרי אותי כל חמש שניות. 
",1
292,"- - - מה לעשות, שתי דקות לכל אחד. 
",0
293,"דרכי דרכי נעם – אני יודע – ושבת של שלום. 
",0
294,"את מתנהגת עם כלי מלחמה לא מקובלים שלא היו פה בבניין הזה.
",1
295,"חבר הכנסת אשר, תם זמנך. חבר הכנסת מרגי, בבקשה.
",0
296,"אבל לא תמו 30 השניות. 
",0
297,"חבר הכנסת מרגי, בבקשה.
",0
298,"הנה קיבלתם דוגמה חיה.
",0
299,"חבר הכנסת מרגי, בבקשה. 
",0
300,"- - - מתורבתים - - - לא באו מבני ברק - - -
",1
301,"בבקשה, שתי דקות. 
",0
302,"לא נותנת לדבר, דורסנות עם חיוך. 
",1
303,"חבל שאתה מדבר ככה, חבל שאתה מדבר ככה.
",0
304,"מה זה? את גומרת את הקריירה הפוליטית שלך מחר?
",1
305,"בבקשה, חבר הכנסת מרגי. 
",0
306,"תתביישי. 
",1
307,"בוקר טוב.
",0
308,"ניר, איפה היית? אנחנו באים בזמן ואתה לא בא בזמן? 
",1
309,"היה פה דיון, את לא היית בו. 
",1
310,"אני מבקשת לא להפריע - - -
",0
311,"חברים, סליחה, סליחה. אני מבקשת לעצור, עכשיו הזמן של חבר הכנסת יעקב מרגי, בבקשה. 
",1
312,"מיכל, את מפריע לי. 
",1
313,"חבר הכנסת מרגי, בבקשה. 
",0
314,"אני יכול להפריע לכל אחד עם הטונים שלי - - -
",1
315,"לא, את לא תפריעי לי. אני מנסה לדבר כבר ארבע דקות. 
",1
316,"בסדר, היא פשוט יצאה נגדי - - -
",0
317,"תקשיבו, המחזות פה - - -
",1
318,"די, תנו לו לדבר.
",1
319,"המחזות כאן עוברים כל גבול. 
",1
320,"אתה רוצה? זה יהפוך אותך לימני.
",0
321,אני רציתי לכתוב לך אמש ואני חושב שטוב עשיתי שלא כתבי.,0
322,"לחשוב על אדם דתי – עזבי י""ז בתמוז, לא השתמשתי בזה – אדם דתי שצריך לקום בבוקר, ללכת לבית הכנסת, לנסוע שעה וחצי אם אין פקקים, ולהגיע לפה ב-08:30.",0
323, לא כתבתי כי אין לי ציפיות. עשיתם מעשה שלא ייעשה. ,1
324,"לא שמעת לאנשים, הבאת אותנו ב-08:30 על מנת להצביע. 
",1
325,"לא, נקראתם על מנת לערוך דיון. 
",0
326,"אל תחלקי עלי, זו דעתי. עשית זאת על מנת לעשות מחטף בהצבעה. אנשי הקואליציה לא הגיעו אז אין הצבעה. זה קורה כבר בפעם השנייה או השלישית לגבי אותו הסעיף. 
",1
